,Unnamed: 0,Date,User,Tweet_id,Tweet
8535,8535,2021-07-25 16:23:40+00:00,info_zampa,1419332534954086400,"@lucma66 @oscarwildeste I decessi non sono il solo parametro perché come detto sopra questa malattia ancora nuova e di cui non si conoscono tutti gli effetti soprattutto a lungo termine già sappiamo essere causa di #LongCovid in una parte non trascurabile infettati, anche infettati lievi. Inoltre ⬇️"
8816,8816,2021-07-25 17:46:49+00:00,LAURADEPS,1419353456893116417,"Basta #tg4 mistificare un siero sperimentale per un vaccino tradizionale. i sieri anticovid19 agiscono sulla sindrome, chiamata appunto #Covid19 provocata dal virus #SarsCov2 e da Sistemi Immunitari particolarmente predisposti alla cosiddetta tempesta citochinica 
#FreeVax"
9438,9438,2021-07-25 22:21:19+00:00,plastikid1,1419422540133539840,"@Enneppi Certo, la mortalità del vaiolo era del 30%. E il vaccino dava reazioni avverse del 0.0001%, un rapporto rischi/benefici bassissimo.
Cosa sa lei delle reazioni avverse dei vaccini sperimentali #COVID19 a mRNA o vector ed effetti Spike-Protein a lungo termine? Nulla.
#NoGreenPass https://t.co/xOukoW5nw7"
9506,9506,2021-07-25 23:27:41+00:00,Antonio_Caramia,1419439238530088964,"#LongCovid
Indipendentemente dalla gravità, a 6mesi dalla malattia
👉il 61% dei pazienti presenta sintomi persistenti

👉Il 52% dei giovani con forma lieve della malattia presentano:
Perdita del gusto o dell'olfatto
Fatica
Dispnea
Difficoltà di concentrazione
Problemi di memoria https://t.co/6NLDEoXNOa"
9510,9510,2021-07-25 23:35:53+00:00,Sara_fromArda,1419441303562096640,"""Covid19 non è una pandemia, è una sindrome. Una sindemia, per l'esattezza. La crisi economica che incombe su di noi non sarà risolta da un farmaco o da un #vaccino. È necessario un risveglio nazionale di grande portata."" Richard Horton ""The Lancet""
#draghibugiardo"
9721,9721,2021-08-08 06:42:25+00:00,stattiattento,1424259685130059776,"@istsupsan Non si conoscono gli effetti a lungo termine sarebbe una fake? Ma se il primo bugiardino parlava solo di paresi facciale reversibile come effetto grave? E oggi invece Ema e AIFA ci dicono ben altro (vedi foto).. e domani chissà, diranno che sono cancerogeni o tossici? #COVID19 https://t.co/NkfME6p9KG"
10114,10114,2021-08-08 09:42:37+00:00,lucabenvet70,1424305037250080768,"@robersperanza Ho 51 anni, consapevole dei rischi che avrei potuto incorrere contagiandomi con #COVID19 mi sono convintamente vaccinato assumendomi ogni responsabilità. Ma nei GIOVANI non sussiste un giustificato rapporto RISCHIO/BENEFICIO e dati su effetti collaterali a medio-lungo termine"
10625,10625,2021-08-08 14:01:05+00:00,JoKakamuKazz,1424370081501483016,"Identificatore: 840539006
https://t.co/bHvTrlaDDr causata da sindrome respiratoria acuta grave coronavirus 2 (disturbo)COVID-19
https://t.co/rZE70wl2Jh https://t.co/z2CgrH6DH5"
11218,11218,2021-08-08 17:14:31+00:00,autocostruttore,1424418759905796096,"Un Paese con circa 500 morti diari di tumore, 350 morti per problemi cardiovascolari, 145 per inquinamento...
... Sequestrato per la morte di 11 decessi per Covid-19
Qualcosa non torna."
11253,11253,2021-08-08 17:33:38+00:00,Stef77359537,1424423572731224066,"I guariti di COVID-19 hanno un'immunità ampia e a lungo termine

 https://t.co/AZloyJ320s"
11290,11290,2021-08-08 17:52:36+00:00,azangrillo,1424428343450083330,La manifestazione più grave e pericolosa di #LongCovid Syndrome è continuare a parlare sempre e solo di #COVID19.
11341,11341,2021-08-08 18:19:48+00:00,YanezPeter,1424435189711839243,"Ma com'è che ancora non gli hanno dato il Nobel per la medicina?

🤦‍♂️

 #LongCovid #COVID19"
11627,11627,2021-08-08 21:15:13+00:00,EmmaKump,1424479334576926722,"@ScuolaNoCovid @info_zampa @lucma66 @giusigrasso @svirgola2 @amaryllide1 @Alexi_Lilian @Cippalik @MelgerTina @robertdolci @FranceskoNew @Il_Vitruviano @FZanolli @umanesimo @MusettiGianluca @ironorehopper @semioticmonkey @PMO_W @Lacasespoglia @ChinellatoCarla @emmevilla @FrancescoScati9 @giuseppemaria @Moonlightshad1 @CCKKI @animaleuropeRMP @Alberto_Gerli @giorgiogilestro @GeneraleCujkov @itosettiMD_MBA @AurelianoStingi @luca_biasi @paoloigna1 @PippiCalz @Comunardo @ValerioMinnella @MbPic68 @AdolfoTasinato @LuigiCelli1988 @Amos8125 @Simo_Florence @LongCovidItalia @Keynesblog @robersperanza @WRicciardi @ProfPBianchi @piersileri @Antonio_Caramia @Cartabellotta @MMmarco0 vaccino contro la COVID-19 sui bambini:
da 1,5 % a 3,4 % di reazioni avverse gravi
da 0,6% a 1,7% di eventi avversi gravi immediati
nulla si conosce (perché non ci sono dati) su eventi avversi gravi a medio e lungo termine. Non è priorità per OMS,
Il Koch Institut SCONSIGLIA."
11714,11714,2021-08-08 22:43:54+00:00,Nanoalto,1424501650803277828,"#Zangrillo: ""Parlare sempre di covid è sindrome più pericolosa""
https://t.co/9itz67m5Bm
Ma 'sto coglione non è mai sazio di figuracce? #COVID19"
11760,11760,2021-08-08 23:53:36+00:00,LongCovidItalia,1424519193219801092,"Magari si parlasse sempre e solo di #LongCovid e dei centiania di migliaia di malati (solo in Italia, milioni nel mondo) giovani e precedentemente sani con invalidità da oltre un anno, gravi danni multi-organo e multi-sistema."
11767,11767,2021-08-09 00:02:17+00:00,RobyRob64,1424521379416772610,"E infatti da questa sindrome è affetta, gravemente, la Tv di regime!
Gli unici despoti in Europa: GOVERNO E MAINTREAM ITALIANI.
VERGOGNA!
@FratellidItalia @borghi_claudio @VittorioSgarbi @byoblu @RadioRadioWeb @rtl1025 @radiodeejay @CanaleItalia"
12130,12130,2021-08-15 09:32:44+00:00,kattolikamente,1426839263052713984,"Analisi Difesa, rischi e benefici del vaccino. Una ottima sintesi con un possibile scenarii del medio e lungo termine. Vale la pena per i giovani? #Covid_19 #COVID19 #vaccino #vaccinatevi_e_basta #greenpass https://t.co/G2WDA8nQWM"
12214,12214,2021-08-15 10:47:27+00:00,LongCovidItalia,1426858067027714048,"@Patriziapattys allora Sara Gandini -con cui su facebook ho anche molti amici in comune- mi dispiace dirlo ma persegue una posizione puramente ideologica ed anti-scientifica su emergenza #COVID19 e #LongCovid che va praticamente a combaciare con posizioni della destra. 
👇 https://t.co/YDTtShaxhv"
12305,12305,2021-08-15 12:05:57+00:00,Mimmobale,1426877820379226114,I farmaci e i vaccini a base di anticorpi contro la sindrome respiratoria acuta grave coronavirus 2 (SARS-CoV-2) vengono accelerati attraverso lo sviluppo preclinico e clinico. I dati dello studio su SARS-CoV e altri virus respiratori suggeriscono che gli anticorpi anti-SARS-CoV-
12340,12340,2021-08-15 12:36:20+00:00,CarloPoltronier,1426885469489573889,"Un ennesimo articolo a prova del fatto che chi guarisce dal covid-19 sviluppa un'immunità a lungo termine. #covid19
https://t.co/nP60r7KbV4"
12395,12395,2021-08-15 13:13:49+00:00,Ticinonline,1426894902739279874,«Soffro di long covid e sono sull'orlo della disperazione» #svizzera  #coronavirus  #longcovid https://t.co/Xpf3bMXjYh
12698,12698,2021-08-15 15:38:28+00:00,laperlaneranera,1426931302264082440,"""SILENZIO NEI MASS-MEDIA""
#Ema esamina nuovi possibili Effetti Collaterali Vaccini mRNA contro Covid-19 - 
L'Eritema Multiforme,
la Glomerulonefrite e la Sindrome Nefrosica, 
disturbi legati ai reni, 
sono al vaglio del comitato di sicurezza dell'Ema.
https://t.co/ysk34tLrRo"
13869,13869,2021-08-22 10:33:51+00:00,SerenettaMonti,1429391361007136776,@parens12 @MGrecoMD Seguendo l'hashtag #LongCovid o persone come @MartaEsperti e @elisaperego78 può avere una panoramica di cosa succede dopo forme severe di #COVID19
14175,14175,2021-08-22 13:05:02+00:00,Exportiamo,1429429405420605441,"#SummerExportiamo - Il Coronavirus ha profondamente trasformato le nostre esigenze legate a viaggi e vacanze, delineando nuove tendenze che l’industria turistica non potrà più ignorare. Scopriamo insieme quali saranno i trend del turismo post-Covid! 👇
https://t.co/wBuLW6TkiU"
